package_id,plant_id
0,13
0,12
0,2
1,4
1,8
1,7
1,2
1,5
2,3
2,15
2,18
3,19
3,13
4,16
4,3
4,6
5,1
6,8
6,5
6,9
6,12
7,5
7,17
7,19
7,16
8,17
8,11
9,16
9,6
9,8
9,12
9,15
10,9
10,1
10,4
10,17
10,3
11,5
11,1
11,12
11,20
12,5
12,9
13,3
13,18
13,12
13,6
13,14
14,9
14,18
14,16
14,2
14,12
15,5
16,13
16,3
16,18
17,6
17,2
18,10
18,16
19,16
19,8
19,20
19,19
19,5
20,7
21,3
22,9
22,15
22,1
22,5
23,11
23,15
23,1
23,2
23,4
24,5
24,4
24,20
24,16
24,11
25,19
25,4
26,12
26,10
26,4
27,5
28,12
28,18
28,14
28,15
29,1
29,14
29,18
29,16
29,20
30,9
30,2
30,3
30,17
30,18
31,15
32,5
32,15
33,17
33,18
33,15
33,5
34,18
34,7
35,1
36,16
36,1
37,3
37,14
38,19
38,12
38,7
38,1
38,13
39,16
39,15
40,13
40,3
40,1
41,1
41,4
42,15
42,16
42,12
42,5
43,1
43,15
44,6
45,3
45,6
46,16
46,20
47,12
47,8
47,9
47,15
48,1
48,18
48,2
48,16
48,12
49,11
49,14
50,9
50,20
50,3
50,5
51,17
51,13
51,19
52,3
52,7
52,1
53,4
53,15
54,2
54,9
54,3
54,4
55,15
56,8
56,14
56,10
56,20
56,3
57,9
57,13
58,4
58,16
58,8
58,6
58,3
59,14
59,16
59,20
59,18
60,12
61,15
62,19
62,12
62,16
63,6
64,15
64,16
64,5
64,12
64,2
65,19
65,14
65,18
65,7
65,13
66,8
66,7
67,17
67,11
67,8
67,7
67,10
68,15
68,1
68,12
68,8
69,12
69,8
70,3
70,13
70,18
71,2
71,20
71,14
71,1
72,18
73,9
73,8
74,1
74,4
75,12
75,13
75,17
75,19
76,17
76,6
76,1
76,5
77,3
77,1
78,20
78,19
78,1
79,19
79,2
79,3
79,7
80,20
80,14
80,5
81,4
81,9
81,12
81,7
82,13
82,6
82,16
82,15
82,12
83,6
83,15
83,17
84,6
84,18
84,9
85,17
85,11
85,4
85,8
86,16
86,8
87,9
88,8
88,10
88,12
88,5
88,20
89,1
89,18
89,5
89,6
89,16
90,12
90,10
90,6
90,5
91,8
91,19
92,4
92,19
92,10
92,7
93,17
93,13
94,2
94,5
94,12
94,9
94,11
95,13
95,12
95,19
95,1
96,10
96,16
96,17
96,11
96,2
97,1
97,18
98,17
98,11
99,16
99,17
99,5
100,2
100,10
100,11
100,7
101,16
101,13
102,18
102,7
102,20
103,17
104,18
104,4
105,10
105,20
105,3
105,15
106,8
107,16
107,6
107,11
108,8
108,6
108,5
108,13
109,19
110,17
110,11
110,7
110,5
111,4
111,18
111,5
111,8
112,4
112,14
113,8
113,2
113,14
113,19
114,11
114,7
114,10
114,9
115,2
115,15
115,14
115,6
116,18
116,8
116,5
116,11
116,7
117,14
117,17
117,20
117,11
117,19
118,19
118,3
118,20
119,7
119,4
119,14
119,6
119,17
120,4
121,17
121,3
122,8
122,12
122,9
123,11
123,13
123,5
123,3
124,12
124,10
124,6
125,7
125,11
125,9
126,8
126,3
126,15
126,7
127,16
127,1
127,19
127,14
128,4
128,13
128,19
128,12
129,20
129,19
130,5
130,8
130,15
130,13
131,5
131,11
131,13
132,6
132,16
132,17
132,3
133,4
134,19
134,8
134,12
134,6
134,3
135,13
135,5
135,11
135,15
136,10
136,3
137,6
137,20
137,3
138,14
138,6
138,9
138,19
139,11
140,13
140,1
140,15
140,4
141,5
142,13
142,16
142,6
143,6
143,17
143,12
144,2
144,12
145,9
145,2
145,1
146,2
146,11
147,5
147,9
147,19
147,8
148,12
148,15
148,3
148,5
149,1
150,5
150,6
150,8
150,15
150,1
151,15
152,1
152,17
152,18
152,9
152,7
153,7
154,11
154,4
155,15
155,18
155,6
156,9
156,3
156,4
156,5
157,19
157,8
157,17
157,18
158,17
159,10
159,9
160,18
160,2
160,5
160,19
161,7
161,4
161,14
161,6
162,4
162,13
162,2
163,15
163,3
164,9
164,20
165,12
165,13
166,2
166,13
166,19
166,12
167,9
167,10
167,3
168,18
168,1
169,17
169,19
169,13
169,1
169,7
170,7
170,13
170,18
170,12
170,10
171,9
171,16
171,15
171,5
172,17
172,2
172,9
172,10
173,3
173,10
173,14
173,6
174,14
174,8
174,10
174,1
174,6
175,13
176,20
176,19
177,5
177,9
178,14
178,11
178,1
178,5
178,3
179,3
179,13
179,11
179,9
180,15
180,1
181,20
181,13
181,19
181,2
182,20
182,2
182,4
183,16
183,2
184,16
184,1
184,12
184,11
184,8
185,12
185,15
186,1
186,12
186,4
186,7
187,16
187,18
187,2
187,1
187,19
188,11
188,6
189,9
190,15
190,14
190,17
190,11
191,3
191,19
192,18
192,11
192,8
192,17
192,2
193,3
194,19
194,11
194,17
194,12
195,10
195,2
195,19
195,15
195,1
196,8
197,9
197,16
197,4
198,20
198,11
198,4
199,5
199,6
199,11
200,8
200,3
201,1
201,14
201,15
201,5
202,10
202,5
202,11
202,18
203,6
203,19
203,10
204,15
205,11
205,7
206,11
206,18
206,17
206,6
207,13
207,5
208,15
208,9
209,7
209,8
210,1
210,8
210,12
210,16
211,1
211,2
211,20
212,5
212,4
213,4
214,9
214,10
214,20
215,8
215,11
